Date,Close,Volume,ma7,ma21,26ema,12ema,MACD,momentum,pos,neg,neu,SNP,PFE,JNJ,BMY,VTRS,AMGN,NYSE,NASDAQ,FT6,FT9,ARIMA
3/17/20,71.068703,24745795,73.04116829,75.81561276,76.32913023,73.84011755,-2.48901268,70.068703,0.786334395,0.133328443,0.080337125,2529.189941,28.28413582,129.7006226,50.77468872,15.21533012,195.8558197,10063.36035,7334.779785,66.81985474,71.6503792,66.92627562
3/18/20,68.349236,18558508,72.04198586,75.323519,75.73802696,72.99536654,-2.742660412,67.349236,0,0,1,2398.100098,28.46003151,128.1528778,47.16066742,13.85699463,193.103653,9384.599609,6989.839844,66.61968647,71.39177996,70.98752193
3/19/20,67.490456,19268738,70.50299971,74.81143224,75.12709577,72.14845723,-2.978638544,66.490456,0,0,1,2409.389893,26.75383949,120.6418304,45.79953766,14.53127575,187.3354034,9461.30957,7150.580078,66.41899871,71.13119901,68.72349513
3/20/20,68.091606,23075912,69.42748171,74.30570729,74.60594838,71.52432627,-3.081622112,67.091606,0,0,1,2304.919922,25.51377106,113.8429718,45.43344498,14.90262127,177.4295197,9133.160156,6879.52002,66.21780559,70.86866901,67.59608077
3/23/20,63.35878,18375003,68.33015357,73.58142524,73.7728248,70.26808838,-3.504736416,62.35878,0.009154039,0.969681263,0.021164617,2237.399902,25.05643845,105.5343094,43.55603027,15.38145924,175.2428589,8777.379883,6860.669922,66.01612126,70.60422309,68.03115831
3/24/20,65.887405,19901939,67.28053514,73.02344619,73.18871963,69.59413709,-3.594582535,64.887405,0.155795502,0.115767853,0.728436669,2447.330078,26.12061119,113.1687851,46.22195816,14.79512596,190.7096558,9658.320313,7417.859863,65.8139599,70.33789492,63.87712862
3/25/20,65.095421,18311494,67.048801,72.475918,72.58921603,68.90202693,-3.687189101,64.095421,0.849660397,0.007146146,0.143193439,2475.560059,26.1645813,113.3776855,46.32521057,14.58991051,182.0384216,9961.379883,7384.299805,65.61133574,70.06971861,65.62847144
3/26/20,70.162216,18052848,66.91930286,72.18466043,72.40943825,69.09590217,-3.313536079,69.162216,0.924580395,0.049095746,0.026323793,2630.070068,27.92354965,120.1860504,49.04746246,15.18601418,187.0809326,10536.28027,7797.540039,65.408263,69.79972879,65.1568797
3/27/20,68.444656,12467218,66.93293429,71.89612905,72.11575067,68.99571045,-3.120040224,67.444656,0.405297336,0.491409667,0.103293017,2541.469971,27.17599106,116.9480438,49.55437088,14.54104996,186.8735809,10187.20996,7502.379883,65.20475595,69.52796051,69.87953568
3/30/20,73.425575,15803316,67.78080843,71.91384995,72.2127747,69.67722807,-2.535546625,72.425575,0.910101831,0.071061812,0.018836407,2626.649902,28.73266983,126.3012238,51.05630112,14.72671986,196.4967194,10434.74023,7774.149902,65.00082889,69.25444933,68.51180018
3/31/20,73.416031,15079672,68.54144057,71.71255967,72.30190479,70.25242852,-2.049476271,72.416031,0,0,1,2584.590088,28.70628738,124.5160675,52.32355499,14.57036495,191.0772095,10301.87012,7700.100098,64.79649611,68.97923122,72.80368748
4/1/20,70.419846,11665288,69.55016429,71.4703751,72.16249303,70.27818506,-1.884307973,69.419846,0.109095195,0.630567595,0.260337223,2470.5,27.92354965,122.3130493,51.45994568,13.93517208,186.440033,9844.849609,7360.580078,64.59177196,68.70234263,73.48714942
4/2/20,73.349236,12843345,70.61614014,71.19320319,72.25039992,70.75065443,-1.499745484,72.349236,0.471599561,0.165248968,0.36315146,2526.899902,28.90856934,126.4341431,52.25498581,13.60291672,196.8737488,10062.37012,7487.310059,64.38667078,68.4238204,70.67808798
4/3/20,72.757637,10039211,71.71074243,70.95101862,72.28797303,71.05942098,-1.228552053,71.757637,0,0,1,2488.649902,29.58576965,127.4026871,52.55785751,13.4270153,193.6031952,9880.629883,7373.080078,64.18120696,68.14370184,72.76361684
4/6/20,76.631676,14314108,72.634951,70.86514071,72.60972881,71.91669098,-0.693037825,75.631676,0.935494363,0.041293032,0.023212627,2663.679932,30.40369034,132.7107544,54.77261353,13.72018337,199.4185333,10515.24023,7913.240234,63.97539486,67.86202465,72.99490446
4/7/20,74.96183,10657950,73.56597586,70.84696533,72.78395853,72.38517391,-0.398784618,73.96183,0.599750578,0.013943657,0.38630572,2659.409912,29.55938339,130.5457764,53.85453415,14.04266548,196.7794495,10537.04004,7887.259766,63.7692489,67.57882693,76.29717207
4/8/20,77.881676,11481888,74.20256171,70.82878995,73.16156723,73.23078962,0.069222387,76.881676,0.664610147,0.011040055,0.32434985,2749.97998,30.43007088,136.0342255,55.13228226,14.79512596,206.5911255,10902.58984,8090.899902,63.56278349,67.2941472,75.06897671
4/9/20,78.71183,13876568,74.95910443,70.9760089,73.57269781,74.0740266,0.501328793,77.71183,0,0,1,2789.820068,31.12486076,134.1066284,55.75695419,15.7137146,205.6674347,11136.61035,8153.580078,63.35601305,67.00802435,77.51486317
